Country,Year,AvgTemp,Country_CO2,Year_CO2,co2,co2_per_capita,total_ghg
Brazil,2005,23.0540696969697,Brazil,2005,364.371,1.973,3057.048
Venezuela,2013,26.350825000000004,Venezuela,2013,198.452,6.634,317.226
Lebanon,1988,19.066472222222224,Lebanon,1988,7.346,2.126,9.113
Tanzania,2002,23.30390625,Tanzania,2002,3.486,0.096,110.839
Russia,2003,6.457600591715978,Russia,2003,1539.006,10.556,2012.192
Cameroon,2005,25.542066666666667,Cameroon,2005,5.424,0.318,63.555
Netherlands,2003,10.26796527777778,Netherlands,2003,180.169,11.008,228.595
Australia,1992,16.91417857142857,Australia,1992,284.433,16.208,568.962
Lithuania,1999,7.858016666666667,Lithuania,1999,13.45,3.818,26.759
Guinea,1986,25.583520833333335,Guinea,1986,0.997,0.173,16.573
Guinea,1990,26.046499999999998,Guinea,1990,0.967,0.15,23.314
Senegal,1991,26.39089583333333,Senegal,1991,3.108,0.391,14.701
Uzbekistan,2010,13.733937500000001,Uzbekistan,2010,107.668,3.793,159.98
Bulgaria,1987,10.406607142857144,Bulgaria,1987,91.277,10.169,118.62
Hong Kong,1999,22.147916666666664,Hong Kong,1999,42.549,6.431,47.565
Laos,2008,24.061666666666667,Laos,2008,2.131,0.347,73.837
United Kingdom,1992,9.672702205882354,United Kingdom,1992,593.846,10.289,762.51
Morocco,1983,18.024716666666666,Morocco,1983,17.627,0.837,44.922
Morocco,1990,18.315716666666663,Morocco,1990,22.298,0.915,56.695
France,1999,11.546150462962963,France,1999,413.07,6.991,495.177
France,2003,11.970787037037038,France,2003,412.989,6.799,476.792
Japan,2009,14.379103431839843,Japan,2009,1160.253,9.051,1193.447
India,1989,25.662949701619787,India,1989,540.662,0.639,1514.593
Brazil,1981,22.226090151515145,Brazil,1981,171.262,1.38,1813.243
Germany,2000,10.350313664596273,Germany,2000,898.976,10.99,1042.311
Algeria,1988,18.65423333333333,Algeria,1988,82.839,3.436,143.595
Algeria,1994,19.07176666666667,Algeria,1994,87.848,3.15,158.236
Ireland,1988,9.594375000000001,Ireland,1988,29.884,8.477,57.221
Hungary,1992,11.075425925925924,Hungary,1992,62.281,6.005,77.176
Afghanistan,1999,15.964471910112358,Afghanistan,1999,1.092,0.055,18.338
Afghanistan,2012,14.25488043478261,Afghanistan,2012,9.731,0.318,30.964
Australia,1989,17.146761904761906,Australia,1989,256.838,15.225,478.989
Poland,1987,6.832286363636363,Poland,1987,463.736,12.312,643.636
Cambodia,2004,27.47125,Cambodia,2004,2.239,0.169,69.559
Kazakhstan,1994,7.961184210526315,Kazakhstan,1994,174.671,10.248,277.77
Laos,1997,24.667333333333335,Laos,1997,0.792,0.154,34.649
United Kingdom,1990,10.455360294117643,United Kingdom,1990,601.945,10.493,784.056
Pakistan,2007,24.973769774011295,Pakistan,2007,148.349,0.804,328.961
Malaysia,1987,27.119252604166658,Malaysia,1987,40.878,2.511,371.294
Madagascar,1984,22.036416666666664,Madagascar,1984,0.866,0.085,64.865
Brazil,1975,22.01593106060608,Brazil,1975,150.287,1.396,1583.52
New Zealand,1982,12.910046728971963,New Zealand,1982,18.27,5.736,92.802
Romania,1993,9.420924137931035,Romania,1993,122.709,5.372,155.016
Germany,1976,9.169876811594202,Germany,1976,1090.808,13.92,1322.032
Argentina,1975,17.304494764397905,Argentina,1975,94.86,3.666,283.822
Latvia,1994,6.085291666666667,Latvia,1994,10.37,4.113,9.767
Afghanistan,1993,15.232127906976745,Afghanistan,1993,1.487,0.1,10.454
Guatemala,2012,19.8825,Guatemala,2012,11.347,0.752,50.506
Uganda,1974,23.958499999999997,Uganda,1974,1.19,0.104,41.133
Peru,1993,18.062897233201582,Peru,1993,23.885,1.02,138.536
Sudan,1997,28.612191666666668,Sudan,1997,5.023,0.195,90.28
Sudan,1999,28.553475,Sudan,1999,4.753,0.175,86.945
Senegal,1998,27.341000000000005,Senegal,1998,3.334,0.351,32.123
Uruguay,2008,18.59391666666667,Uruguay,2008,8.218,2.489,61.332
Thailand,2003,27.34661507936508,Thailand,2003,191.088,2.946,368.632
Bulgaria,2007,12.646902439024387,Bulgaria,2007,55.669,7.338,61.869
Bolivia,2004,12.761639344262294,Bolivia,2004,11.051,1.201,170.64
Turkmenistan,2004,16.26188888888889,Turkmenistan,2004,49.355,9.954,90.372
Laos,1982,24.397166666666664,Laos,1982,0.158,0.046,24.28
United Kingdom,1975,9.698042892156865,United Kingdom,1975,603.254,10.73,803.507
Iran,1993,15.02461772151899,Iran,1993,236.993,3.86,409.287
Belgium,1985,9.024011904761903,Belgium,1985,104.012,10.527,133.77
Israel,1976,18.99737962962963,Israel,1976,19.497,5.737,24.521
Egypt,2002,22.74810087719298,Egypt,2002,128.362,1.684,197.826
Italy,1998,13.576087301587302,Italy,1998,460.824,8.054,537.794
Bangladesh,1994,25.499543859649126,Bangladesh,1994,17.553,0.146,101.16
